Ad Unit Name,Size,Site,gamAdUnit,adyoulike.placement,appnexus.placement_id,kargo.placementId,nextMillennium.placement_id,pgamssp.placementId,seedtag.placement,seedtag.adUnitId,triplelift.inventoryCode,geniee.zoneId
left-rail-1,300x250,amvgg.com,amvgg.com/left-rail-1,0b6670e89fc5152f385f05dcace118a8,,,82375,16473,,,,
left-rail-2,300x600,amvgg.com,amvgg.com/left-rail-2,d38c91963367413b19cac12175161fc7,,,82376,16474,,,,
right-rail-1,300x250,amvgg.com,amvgg.com/right-rail-1,0b6670e89fc5152f385f05dcace118a8,,,82377,16475,,,,
right-rail-2,300x600,amvgg.com,amvgg.com/right-rail-2,d38c91963367413b19cac12175161fc7,,,82378,16476,,,,
leaderboard-(.*),728x90,amvgg.com,amvgg.com/leaderboard,81cded6577753d91e46630a79d8142d6,,,82379,16477,,,,
mobile-unit-(.*),300x250,amvgg.com,amvgg.com/mobile-unit,8d441d426adeaea9fc671c162e42adc1,,,82380,16478,,,,
anchor,1000x100,amvgg.com,amvgg.com/anchor,3fdb35aaca880ae9a1c99299649805f0,,,82381,16479,inScreen,36762011,,
billboard-(.*),970x250,amvgg.com,amvgg.com/billboard,c3db67f8eb975055504bf15dd06fc439,,,82382,16480,,,,
video,300x169,amvgg.com,amvgg.com/video,,,,82383,16481,,,,
left-rail-1,300x250,bloxgamers.com,bloxgamers.com/left-rail-1,0b6670e89fc5152f385f05dcace118a8,,,,16482,inBanner,37150554,,
left-rail-2,300x600,bloxgamers.com,bloxgamers.com/left-rail-2,d38c91963367413b19cac12175161fc7,,,,16483,inBanner,37150554,,
right-rail-2,300x600,bloxgamers.com,bloxgamers.com/right-rail-2,d38c91963367413b19cac12175161fc7,,,,16484,inBanner,37150554,,
right-rail-1,300x250,bloxgamers.com,bloxgamers.com/right-rail-1,0b6670e89fc5152f385f05dcace118a8,,,,16485,inBanner,37150555,,
billboard-(.*),970x250,bloxgamers.com,bloxgamers.com/billboard,c3db67f8eb975055504bf15dd06fc439,,,,16486,inBanner,37150555,,
leaderboard-(.*),728x90,bloxgamers.com,bloxgamers.com/leaderboard,81cded6577753d91e46630a79d8142d6,,,,16487,inBanner,37150555,,
anchor,1000x100,bloxgamers.com,bloxgamers.com/anchor,3fdb35aaca880ae9a1c99299649805f0,,,,16488,inScreen,37150552,,
video,300x169,bloxgamers.com,bloxgamers.com/video,,,,,16489,inStream,37150556,,
mobile-unit-(.*),300x250,bloxgamers.com,bloxgamers.com/mobile-unit,8d441d426adeaea9fc671c162e42adc1,,,,16490,inArticle,37150553,,
left-rail-1,300x250,breakingpoint.gg,breakingpoint.gg/left-rail-1,0b6670e89fc5152f385f05dcace118a8,,,,,,,,
right-rail-2,300x600,breakingpoint.gg,breakingpoint.gg/right-rail-2,d38c91963367413b19cac12175161fc7,,,,,,,,
right-rail-1,300x250,breakingpoint.gg,breakingpoint.gg/right-rail-1,0b6670e89fc5152f385f05dcace118a8,,,,,,,,
billboard-(.*),970x250,breakingpoint.gg,breakingpoint.gg/billboard,c3db67f8eb975055504bf15dd06fc439,,,,,,,,
leaderboard-(.*),728x90,breakingpoint.gg,breakingpoint.gg/leaderboard,81cded6577753d91e46630a79d8142d6,,,,,,,,
anchor,1000x100,breakingpoint.gg,breakingpoint.gg/anchor,3fdb35aaca880ae9a1c99299649805f0,,,,,,,,
mobile-unit-(.*),300x250,breakingpoint.gg,breakingpoint.gg/mobile-unit,8d441d426adeaea9fc671c162e42adc1,,,,,,,,
video,300x169,breakingpoint.gg,breakingpoint.gg/video,,,,,,,,,
left-rail-2,300x600,breakingpoint.gg,breakingpoint.gg/left-rail-2,d38c91963367413b19cac12175161fc7,,,,,,,,
left-rail-1,300x250,cancelwise.com,cancelwise.com/left-rail-1,0b6670e89fc5152f385f05dcace118a8,,_msM6yZalyh,,14966,inBanner,36762029,,
left-rail-2,300x600,cancelwise.com,cancelwise.com/left-rail-2,d38c91963367413b19cac12175161fc7,,_s4ijeWZMgx,,14967,inBanner,36762029,,
right-rail-1,300x250,cancelwise.com,cancelwise.com/right-rail-1,0b6670e89fc5152f385f05dcace118a8,,_msM6yZalyh,,14968,inBanner,36762029,,
right-rail-2,300x600,cancelwise.com,cancelwise.com/right-rail-2,d38c91963367413b19cac12175161fc7,,_s4ijeWZMgx,,14969,inBanner,36762029,,
video,300x169,cancelwise.com,cancelwise.com/video,,,,,,inStream,36762031,,
mobile-unit-(.*),300x250,cancelwise.com,cancelwise.com/mobile-unit,8d441d426adeaea9fc671c162e42adc1,,_fTsnKhXKfs,,14971,inBanner,36762030,,
billboard-(.*),970x250,cancelwise.com,cancelwise.com/billboard,c3db67f8eb975055504bf15dd06fc439,,_h160zXD5Qw,,14972,inBanner,36762030,,
leaderboard-(.*),728x90,cancelwise.com,cancelwise.com/leaderboard,81cded6577753d91e46630a79d8142d6,,_h160zXD5Qw,,14974,inBanner,36762030,,
anchor,1000x100,cancelwise.com,cancelwise.com/anchor,3fdb35aaca880ae9a1c99299649805f0,,,,14973,inScreen,36762028,,
left-rail-1,300x250,dpm.lol,dpm.lol/left-rail-1,0b6670e89fc5152f385f05dcace118a8,36489844,_t1Y0Op986J,63213,5405,inBanner,37112771,RevIQ_RON_300x250_PBc2s,
leaderboard,728x90,dpm.lol,dpm.lol/leaderboard,81cded6577753d91e46630a79d8142d6,36489844,_moGIZYEjmg,63217,5407,inBanner,37112771,RevIQ_RON_HDX_PBc2s,
billboard,970x250,dpm.lol,dpm.lol/billboard,c3db67f8eb975055504bf15dd06fc439,36489844,,63217,14453,inBanner,37112772,RevIQ_RON_HDX_PBc2s,
anchor,1000x100,dpm.lol,dpm.lol/anchor,3fdb35aaca880ae9a1c99299649805f0,36489844,,63218,5408,inScreen,37112769,RevIQ_RON_HDX_PBc2s,
video,400x225,dpm.lol,dpm.lol/video,,,,63220,,inStream,37112774,,
left-rail-2,300x600,dpm.lol,dpm.lol/left-rail-2,d38c91963367413b19cac12175161fc7,36489844,_t1Y0Op986J,63214,5406,inBanner,37112772,RevIQ_RON_300x600_PBc2s,
mobile-unit-(.*),300x250,dpm.lol,dpm.lol/mobile-unit,8d441d426adeaea9fc671c162e42adc1,36489844,_i5JNRgNQ7t,63221,5405,inArticle,37112770,RevIQ_RON_Mobile_300x250_PBc2s,
right-rail-2,300x600,dpm.lol,dpm.lol/right-rail-2,d38c91963367413b19cac12175161fc7,36489844,_t1Y0Op986J,63216,5406,inBanner,37112773,RevIQ_RON_300x600_PBc2s,
right-rail-1,300x250,dpm.lol,dpm.lol/right-rail-1,0b6670e89fc5152f385f05dcace118a8,36489844,_t1Y0Op986J,63215,5405,inBanner,37112773,RevIQ_RON_300x250_PBc2s,
left-rail-1,300x250,etoland.co.kr,etoland.co.kr/left-rail-1,0b6670e89fc5152f385f05dcace118a8,36591226,_jcOsZzJXxG,,14826,inBanner,36762013,,
right-rail-1,300x250,etoland.co.kr,etoland.co.kr/right-rail-1,0b6670e89fc5152f385f05dcace118a8,36591223,_jcOsZzJXxG,,14828,inBanner,36762013,,
right-rail-2,300x600,etoland.co.kr,etoland.co.kr/right-rail-2,d38c91963367413b19cac12175161fc7,36591224,_iK3aVnhL44,,14829,inBanner,36762013,,
inline-block-(.*),300x250,etoland.co.kr,etoland.co.kr/inline-block,0b6670e89fc5152f385f05dcace118a8,36591223,_c2C86F6xuX,,14831,inBanner,36762014,,
left-rail-2,300x600,etoland.co.kr,etoland.co.kr/left-rail-2,d38c91963367413b19cac12175161fc7,36591227,_iK3aVnhL44,,14827,inBanner,36762013,,
inline-video,300x169,etoland.co.kr,etoland.co.kr/inline-video,,,,,,inStream,36762015,,
inline-mobile-(.*),300x250,etoland.co.kr,etoland.co.kr/inline-mobile,0b6670e89fc5152f385f05dcace118a8,36591228,_c2C86F6xuX,,14833,inArticle,36762012,,
