URL,Publisher,Created at,ads.txt Status,RevIQ Status,Sales Status,gamPublisher,Ad Units,inmobi setup?,React?,adyoulike.reviq.rate,anyclip.reviq.rate,video-aio-anyclip.pubname,video-aio-anyclip.widgetname,appnexus.reviq.rate,appnexus.placementId,GAM Status,GAM Admin,iionads.reviq.rate,kargo.reviq.rate,kueezrtb.reviq.rate,medianet.reviq.rate,minutemedia.reviq.rate,nextmillenium.reviq.rate,oms.reviq.rate,optima.reviq.rate,pgamssp.reviq.rate,pgamssp.placementId,pubmatic.reviq.rate,richaudience.reviq.rate,rise.reviq.rate,seedtag.reviq.rate,seedtag.publisherId,smilewanted.reviq.rate,triplelift.reviq.rate,adkernel.reviq.rate,adkernel.zoneId,geniee.reviq.rate,geniee.zoneId,kueez ads.txt,kueezrtb.cId,kueez anyclip Video CID,kueez aniview Video ID,kueez vidazoo Video ID,Notify demand partners?,Set up Slack?,Standard ad units?,anchor,googleInterstitialUnit,Expected Ad Volume,optima reviq status,rtbdemand,scripts.rtbhouse,etc,Test Page,AnyClip Live?
amvgg.com,AMVGG,11/15/2025 11:38pm,Redirect,Live,Signed,23318207002,"left-rail-1,left-rail-2,right-rail-1,right-rail-2,leaderboard-(.*),billboard-(.*),anchor,mobile-unit-(.*),video",checked,checked,Approved,Approved,2558,"import { useEffect } from ""react"";  function LrePlayer() {   useEffect(() => {     const script = document.createElement(""script"");     script.src = ""https://player.anyclip.com/anyclip-widget/lre-widget/prod/v1/src/lre.js"";     script.setAttribute(""pubname"", ""2558"");     script.setAttribute(""widgetname"", ""001Te000004ZYO7IAO_M13035"");     script.async = true;     document.body.appendChild(script);      return () => {       document.body.removeChild(script); // Cleanup on unmount     };   }, []);    return <div>LrePlayer</div>; }",Pending,,Approved,Not added,Approved,Pending,Approved,Approved,Approved,Approved,Approved,Approved,Approved,,Rejected,Rejected,Approved,Approved,2177-0869-01,Rejected,Pending,Pending,,Pending,,"kueez.com,b1c45893fa2e59ce884fe4de564653b9 , reseller",691993a7446aa458efe8da24,691993ba446aa458efe8da28,,,,,checked,checked,,892500.0,Live,,https://cdn.r9x.in/prod-global-9298809.js,"		""navigation-security"": {
			""$_allowInteraction"": {
				""$_ms"": 10,
				""$_hosts"": [ ""discord.gg"", ""discord.com"", ""x.com"", ""twitter.com"", ""dmca.com""]
			},
			""$_alwaysAllowHosts"": [""images.dmca.com"", ""rbx.how"", ""tr.rbxcdn.com"", ""roblox.com"", ""apis.roblox.com""]
		},",,Live
antimicro.net,Juned Pathan,1/24/2026 5:50pm,Redirect,Set up configs,Signed, 23334778486,"left-rail-1,left-rail-2,right-rail-1,right-rail-2,leaderboard-(.*),billboard-(.*),anchor,mobile-unit-(.*),interstitial,video",checked,,Pending,Sent for review,,,Pending,,To do,Not added,Approved,Pending,Sent to review,Pending,Rejected,Rejected,Pending,Pending,Approved,,Rejected,Rejected,Pending,Pending,,Rejected,Pending,Pending,,Pending,,,,,,,,,checked,checked,,300000.0,,,,,,
bloxgamers.com,Bloxgamers,11/15/2025 11:39pm,Redirect,Live,Signed,23308471723,"left-rail-1,left-rail-2,right-rail-1,right-rail-2,leaderboard-(.*),billboard-(.*),anchor,mobile-unit-(.*),video",checked,checked,Pending,Approved,2559,001Te000004ZYO7IAO_M13036,Pending,,Need access,Not added,Approved,Pending,Approved,Approved,Rejected,Rejected,Rejected,Approved,Approved,,Rejected,Rejected,Approved,Approved,7871-3222-01,Rejected,Pending,Pending,,Pending,,"kueez.com,8c98a0d2ebbb3ec5e3696a117e15d6e5 , reseller",69199355a625f94d8772bcd0,6919936d446aa458efe8da10,,,,,checked,checked,,1785000.0,,,,,,Paused
cancelwise.com,Aron Cstalos,10/27/2025 3:58pm,Redirect,Live,Signed,23321565365,"left-rail-1,left-rail-2,right-rail-1,right-rail-2,video,mobile-unit-(.*),billboard-(.*),anchor,leaderboard-(.*)",checked,,Approved,Approved,2575,001Te000004ZYO7IAO_M13132,Pending,,Approved,Added,Approved,Approved,Approved,Approved,Rejected,Rejected,Rejected,Rejected,Approved,,Rejected,Rejected,Approved,Approved,7757-6684-01,Rejected,Pending,Pending,,Pending,,"kueez.com,eed0e7a4920c94dee446e2125ba4b340 , reseller",68f125d7a4a830a9497573b2,68f125ed114594850d41a742,,68f12609a4a830a9497573ca,,,,checked,,127500.0,,,https://cdn.r9x.in/prod-global-9298809.js,,,Pending
cn.yna.co.kr,Yonhap News,11/18/2025 12:09am,Manual,Paused,Signed,,"left-rail-1,left-rail-2,right-rail-1,right-rail-2,leaderboard-(.*),billboard-(.*),anchor,mobile-unit-(.*),video",checked,,Pending,Rejected,,,Pending,,To do,Not added,Approved,Pending,Approved,Approved,Rejected,Rejected,Pending,Approved,Approved,,Approved,Approved,Rejected,Pending,,Approved,Pending,Pending,,Pending,,"kueez.com,0a3e9b402267b1e895f33bc2155e87b4 , reseller",69232a7a39f4663586cde41c,69232af839f4663586cde42d,,,,,checked,checked,,76500000.0,,,,,,
fellsims.com,Fellsims,10/27/2025 3:55pm,Redirect,Live,Signed,23322874068,"left-rail-1,left-rail-2,right-rail-1,right-rail-2,video,mobile-unit-(.*),billboard-(.*),anchor,leaderboard-(.*)",checked,,Approved,Approved,2581,001Te000004ZYO7IAO_M13200,Pending,,Approved,Added,Approved,Pending,Approved,Approved,Rejected,Rejected,Approved,Rejected,Approved,,Rejected,Rejected,Approved,Approved,6798-4111-01,Rejected,Pending,Pending,,Pending,,"kueez.com,e0c5bb4168eb83066aa92f027cea389e , reseller",6914338694ecdd789ddb5d8f,691433a4446aa458efe65bc0,,,,,,checked,,510000.0,,,https://cdn.r9x.in/prod-global-9298809.js,,,Paused
genshin-builds.com,Genshin Builds,10/23/2025 9:27am,Redirect,Live,Signed,22944217181,"left-rail-1,left-rail-2,right-rail-1,right-rail-2,video,mobile-unit-(.*),billboard-(.*),anchor,leaderboard-(.*)",checked,checked,Approved,Approved,2576,001Te000004ZYO7IAO_M13133,Pending,,Approved,Added,Approved,Approved,Approved,Approved,Rejected,Approved,Approved,Approved,Approved,,Approved,Approved,Approved,Approved,3872-3964-01,Approved,Pending,Pending,,Pending,,"kueez.com,fba820e1a0dabbeb46655093898b8b96 , reseller",68f12659a4a830a9497573d8,68f12676a4a830a9497573dc,,68f1269270f6d20f7f42c1f0,,,,checked,,15300000.0,,,https://cdn.r9x.in/prod-global-9298809.js,,,Live
howbazaar.gg,HowBazaar,10/27/2025 4:32pm,Redirect,Live,Signed,23288019926,"right-rail-1,right-rail-2,left-rail-1,left-rail-2,billboard,anchor,leaderboard-(.*),mobile-unit-(.*)",checked,,Approved,Approved,2473,001Te000004ZYO7IAO_M12392,Approved,,Approved,Added,Approved,Approved,Approved,Approved,Approved,Approved,Approved,Approved,Approved,,Approved,Rejected,Approved,Approved,6500-2611-01,Rejected,Pending,Pending,,Pending,,"kueez.com,dd0f5198da8f564287dc89544459a94a, DIRECT",67d15048fada5d379f11fa3f,,,67d150c171af302422126c45,,,,checked,,1275000.0,Live,,https://cdn.r9x.in/prod-global-9298809.js,,,Pending
iloa.gg,ILOA.GG,11/10/2025 12:18am,Redirect,Churned,Ready to Send,23212140763,"left-rail-1,left-rail-2,right-rail-1,right-rail-2,leaderboard-(.*),billboard-(.*),anchor,mobile-unit-(.*),video",checked,checked,Pending,Sent for review,2583,001Te000004ZYO7IAO_M13198,Pending,,Approved,Not added,Approved,Pending,Approved,Approved,Rejected,Rejected,Approved,Approved,Approved,,Rejected,Approved,Approved,Approved,4548-9660-01,Rejected,Pending,Pending,,Pending,,"kueez.com,92646daac6ab8acbe9c2d5d24f35b3cf , reseller",691634b8446aa458efe76411,691634efa2a0d589a8c0bac2,,,,,checked,checked,,637500.0,,,,,,
jennymod.co,Shubham Meena,2/2/2026 4:57am,Redirect,Set up configs,Signed,,"left-rail-1,left-rail-2,right-rail-1,right-rail-2,leaderboard-(.*),billboard-(.*),anchor,mobile-unit-(.*),interstitial,video",,checked,Pending,Sent for review,,,Pending,,Need access,Not added,Pending,Pending,Pending,Pending,Pending,Rejected,Approved,Pending,Pending,,Pending,Pending,Pending,Pending,,Pending,Pending,Pending,,Pending,,,,,,,,,checked,checked,,500000.0,,,,,,
